athlete_id,session_id,speed_mps,window_id,csi_amp_mean,csi_amp_std,csi_amp_min,csi_amp_max,csi_phase_sin_mean,csi_phase_cos_mean,rf_snr_db_mean,multipath_score_mean,rf_signal_quality_mean,left_contact_ratio,right_contact_ratio,csi_amp_range,flight_ratio_proxy,cadence_spm,contact_time_ms,flight_time_ms,asymmetry_pct,dominant_doppler_proxy_hz,harmonic_energy_ratio,vertical_force_peak_bw_proxy,lateral_force_peak_bw_proxy,vertical_loading_rate_bw_s,calf_load_contact_bw,calf_load_uplift_bw,muscle_load_index,power_wkg_proxy,global_risk_probability_14d,future_pain_or_modification_14d
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,0,1.006700640625,0.0220606571892195,0.939439,1.057064,-0.23617839204495286,-0.1717152157676233,25.03675,0.1607,0.8126,0.4,0.1,0.11762499999999998,0.5,186.24,292.53,66.05,4.504,1.0,0.27145,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,1,0.9936567953125,0.02304735535788148,0.921818,1.06205,-0.23059878015544064,-0.17755312028420955,25.03675,0.1607,0.8126,0.2,0.3,0.1402319999999999,0.5,186.24,292.53,66.05,4.504,2.0,0.32081,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,2,0.9994235484375,0.02185971824141146,0.929343,1.061765,-0.23549993741133718,-0.17143802601640495,25.03675,0.1607,0.8126,0.4,0.3,0.13242200000000004,0.3,186.24,292.53,66.05,4.504,2.0,0.24352,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,3,1.0005676171875,0.02425799102782668,0.936961,1.06299,-0.2312741276251331,-0.17663217026815942,25.03675,0.1607,0.8126,0.2,0.3,0.12602900000000006,0.5,186.24,292.53,66.05,4.504,2.0,0.32161,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,4,1.0043529296875,0.022922738346834164,0.937433,1.071163,-0.23350286224288963,-0.17430086224917582,25.03675,0.1607,0.8126,0.2,0.3,0.13373000000000013,0.5,186.24,292.53,66.05,4.504,2.0,0.28599,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,5,0.9964619125,0.02362601758820994,0.935063,1.055286,-0.2326504704574804,-0.17483158050767558,25.03675,0.1607,0.8126,0.4,0.3,0.12022299999999997,0.3,186.24,292.53,66.05,4.504,2.0,0.29596,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,6,0.99363139375,0.023241112460437658,0.924624,1.055319,-0.23213993124482704,-0.17556865867751859,25.03675,0.1607,0.8126,0.2,0.3,0.1306949999999999,0.5,186.24,292.53,66.05,4.504,2.0,0.3125,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,7,1.0038507031250001,0.02246635594760099,0.931699,1.073192,-0.23563711210584964,-0.17258703471283163,25.03675,0.1607,0.8126,0.4,0.1,0.14149299999999987,0.5,186.24,292.53,66.05,4.504,1.0,0.26534,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,8,1.0010148578125,0.023250588219797905,0.933885,1.060721,-0.23230024580513492,-0.1779799938863352,25.03675,0.1607,0.8126,0.2,0.4,0.12683600000000006,0.4,186.24,292.53,66.05,4.504,2.0,0.3408,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,9,1.0013486375,0.02289729241347962,0.938455,1.063873,-0.2366055021585925,-0.17232041567483836,25.03675,0.1607,0.8126,0.3,0.2,0.12541800000000003,0.49999999999999994,186.24,292.53,66.05,4.504,1.0,0.29548,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2.7,10,0.9934442171875,0.02372571040272443,0.934657,1.05405,-0.23118690273400494,-0.17811973333320086,25.03675,0.1607,0.8126,0.1,0.4,0.11939299999999997,0.5,186.24,292.53,66.05,4.504,2.0,0.32056,2.2031,0.0971,86.3,1.833,2.1098,0.8481,3.284,0.7189,0
